========== Whole Struct Corruption ==========
ssl_load_ciphers - ctx - 0
ssl_create_cipher_list - ctx - 0
ssl_release_record - s - 0
ssl_generate_session_id - s - 0
SSL_free - s - 0
ssl_do_config - ctx - 0
SSL_set_connect_state - s - 0
ssl_security - s - 0
ssl_get_new_session - s - 0
ssl_fill_hello_random - s - 0
ssl_cipher_list_to_bytes - s - 0
ssl_set_client_disabled - s - 0
ssl_cipher_disabled - s - 0
ssl_choose_server_version - s - 0
ssl_get_prev_session - s - 0
ssl_has_cert - s - 0
ssl_check_srp_ext_ClientHello - s - 0
ssl_security_cert - ctx - 0
ssl_set_sig_mask - s - 0
ssl_set_record_protocol_version - s - 0
ssl_version_supported - s - 0
SSL_SESSION_list_add - ctx - 0
SSL_SESSION_list_remove - s - 0
ssl_do_client_cert_cb - s - 0
SSL_CIPHER_find - ssl - 0
ssl_build_cert_chain - s - 0
ssl_build_cert_chain - ctx - 0
ssl_cert_add0_chain_cert - s - 0
ssl_get_auto_dh - s - 0
ssl_decapsulate - s - 0
SSL_CTX_set_timeout - s - 0
========== 1 Byte Corruption ==========
ssl_load_ciphers - ctx - 42
ssl_load_ciphers - ctx - 43
ssl_load_ciphers - ctx - 44
ssl_load_ciphers - ctx - 45
ssl_load_ciphers - ctx - 46
ssl_load_ciphers - ctx - 47
ssl_setup_sigalgs - ctx - 0
ssl_setup_sigalgs - ctx - 2
ssl_setup_sigalgs - ctx - 3
ssl_setup_sigalgs - ctx - 4
ssl_setup_sigalgs - ctx - 5
ssl_setup_sigalgs - ctx - 6
ssl_setup_sigalgs - ctx - 7
ssl_setup_sigalgs - ctx - 1096
ssl_setup_sigalgs - ctx - 1097
ssl_setup_sigalgs - ctx - 1098
ssl_setup_sigalgs - ctx - 1099
ssl_setup_sigalgs - ctx - 1100
ssl_setup_sigalgs - ctx - 1101
ssl_setup_sigalgs - ctx - 1102
ssl_setup_sigalgs - ctx - 1103
ssl_setup_sigalgs - ctx - 1632
ssl_setup_sigalgs - ctx - 1633
ssl_setup_sigalgs - ctx - 1634
ssl_create_cipher_list - ctx - 0
ssl_create_cipher_list - ctx - 3
ssl_create_cipher_list - ctx - 4
ssl_create_cipher_list - ctx - 7
ssl_create_cipher_list - ctx - 8
ssl_create_cipher_list - ctx - 9
ssl_create_cipher_list - ctx - 10
ssl_create_cipher_list - ctx - 11
ssl_create_cipher_list - ctx - 12
ssl_create_cipher_list - ctx - 13
ssl_create_cipher_list - ctx - 15
ssl_create_cipher_list - ctx - 16
ssl_create_cipher_list - ctx - 18
ssl_create_cipher_list - ctx - 19
========== Stuck Skip ==========
ssl_evp_cipher_fetch - libctx - 42
ssl_evp_cipher_fetch - libctx - 43
ssl_evp_cipher_fetch - libctx - 44
ssl_evp_cipher_fetch - libctx - 45
ssl_evp_cipher_fetch - libctx - 46
ssl_evp_cipher_fetch - libctx - 47
ssl_evp_md_fetch - libctx - 176
ssl_evp_md_fetch - libctx - 177
ssl_evp_md_fetch - libctx - 178
ssl_evp_md_fetch - libctx - 179
ssl_evp_md_fetch - libctx - 180
ssl_evp_md_fetch - libctx - 181
ssl_evp_md_fetch - libctx - 182
ssl_evp_md_fetch - libctx - 183
ssl_evp_md_fetch - libctx - 192
ssl_evp_md_fetch - libctx - 193
ssl_evp_md_fetch - libctx - 194
ssl_evp_md_fetch - libctx - 195
ssl_evp_md_fetch - libctx - 196
ssl_evp_md_fetch - libctx - 197
ssl_evp_md_fetch - libctx - 198
ssl_evp_md_fetch - libctx - 199
ssl_select_next_record_layer - s - 24
ssl_select_next_record_layer - s - 26
ssl_select_next_record_layer - s - 27
ssl_select_next_record_layer - s - 28
ssl_select_next_record_layer - s - 29
ssl_select_next_record_layer - s - 30
ssl_select_next_record_layer - s - 31
ssl_release_record - s - 3024
ssl_release_record - s - 3025
ssl_release_record - s - 3026
ssl_release_record - s - 3027
ssl_release_record - s - 3028
ssl_release_record - s - 3029
ssl_release_record - s - 3030
ssl_release_record - s - 3031
ssl_release_record - s - 3042
ssl_release_record - s - 3043
ssl_release_record - s - 3044
ssl_release_record - s - 3045
ssl_release_record - s - 3046
ssl_release_record - s - 3047
ssl_generate_session_id - s - 1
ssl_generate_session_id - s - 2
ssl_generate_session_id - s - 3
ssl_generate_session_id - s - 4
ssl_generate_session_id - s - 5
ssl_generate_session_id - s - 6
ssl_generate_session_id - s - 7
ssl_generate_session_id - s - 48
ssl_generate_session_id - s - 49
ssl_generate_session_id - s - 50
ssl_generate_session_id - s - 51
ssl_generate_session_id - s - 52
ssl_generate_session_id - s - 53
ssl_generate_session_id - s - 54
ssl_generate_session_id - s - 55
ssl_generate_session_id - s - 440
ssl_generate_session_id - s - 441
ssl_generate_session_id - s - 442
ssl_generate_session_id - s - 443
ssl_generate_session_id - s - 444
ssl_generate_session_id - s - 445
ssl_generate_session_id - s - 446
ssl_generate_session_id - s - 447
ssl_generate_session_id - s - 978
ssl_generate_session_id - s - 979
ssl_generate_session_id - s - 980
ssl_generate_session_id - s - 981
ssl_generate_session_id - s - 982
ssl_generate_session_id - s - 983
ssl_generate_session_id - s - 2552
ssl_generate_session_id - s - 2553
ssl_generate_session_id - s - 2554
ssl_generate_session_id - s - 2555
ssl_generate_session_id - s - 2556
ssl_generate_session_id - s - 2557
ssl_generate_session_id - s - 2558
ssl_generate_session_id - s - 2559
ssl_generate_session_id - s - 2568
ssl_generate_session_id - s - 2570
ssl_generate_session_id - s - 2571
ssl_generate_session_id - s - 2572
ssl_generate_session_id - s - 2573
ssl_generate_session_id - s - 2574
ssl_generate_session_id - s - 2575
SSL_free - s - 1
SSL_free - s - 2
ssl_do_config - ctx - 58
ssl_do_config - ctx - 59
ssl_do_config - ctx - 60
ssl_do_config - ctx - 61
ssl_do_config - ctx - 62
ssl_do_config - ctx - 63
SSL_set_connect_state - s - 0
SSL_set_connect_state - s - 1
SSL_set_connect_state - s - 2
SSL_set_connect_state - s - 3
SSL_set_connect_state - s - 11
SSL_set_connect_state - s - 14
SSL_set_connect_state - s - 15
SSL_set_connect_state - s - 17
SSL_set_connect_state - s - 22
SSL_set_connect_state - s - 23
SSL_set_connect_state - s - 24
SSL_set_connect_state - s - 25
SSL_set_connect_state - s - 26
SSL_set_connect_state - s - 27
SSL_set_connect_state - s - 29
SSL_set_connect_state - s - 30
SSL_set_connect_state - s - 31
SSL_set_connect_state - s - 32
SSL_set_connect_state - s - 33
SSL_set_connect_state - s - 34
SSL_set_connect_state - s - 35
SSL_set_connect_state - s - 36
SSL_set_connect_state - s - 37
SSL_set_connect_state - s - 43
ssl_security - s - 24
ssl_security - s - 26
ssl_security - s - 27
ssl_security - s - 28
ssl_security - s - 29
ssl_security - s - 30
ssl_security - s - 31
ssl_security - s - 2048
ssl_security - s - 2049
ssl_security - s - 2050
ssl_security - s - 2051
ssl_security - s - 2052
ssl_security - s - 2053
ssl_security - s - 2054
ssl_security - s - 2055
ssl_init_wbio_buffer - s - 5073
ssl_init_wbio_buffer - s - 5074
ssl_init_wbio_buffer - s - 5075
ssl_init_wbio_buffer - s - 5076
ssl_init_wbio_buffer - s - 5077
ssl_init_wbio_buffer - s - 5078
ssl_init_wbio_buffer - s - 5079
ssl_get_new_session - s - 2176
ssl_get_new_session - s - 2177
ssl_get_new_session - s - 2178
ssl_get_new_session - s - 2179
ssl_get_new_session - s - 2180
ssl_get_new_session - s - 2181
ssl_get_new_session - s - 2182
ssl_get_new_session - s - 2183
ssl_get_new_session - s - 2794
ssl_get_new_session - s - 2795
ssl_get_new_session - s - 2796
ssl_get_new_session - s - 2797
ssl_get_new_session - s - 2798
ssl_get_new_session - s - 2799
ssl_fill_hello_random - s - 8
ssl_fill_hello_random - s - 9
ssl_fill_hello_random - s - 10
ssl_fill_hello_random - s - 11
ssl_fill_hello_random - s - 12
ssl_fill_hello_random - s - 13
ssl_fill_hello_random - s - 14
ssl_fill_hello_random - s - 15
ssl_cipher_list_to_bytes - s - 32
ssl_cipher_list_to_bytes - s - 33
ssl_cipher_list_to_bytes - s - 34
ssl_cipher_list_to_bytes - s - 35
ssl_cipher_list_to_bytes - s - 36
ssl_cipher_list_to_bytes - s - 37
ssl_cipher_list_to_bytes - s - 38
ssl_cipher_list_to_bytes - s - 39
ssl_cipher_list_to_bytes - s - 249
ssl_cipher_list_to_bytes - s - 250
ssl_cipher_list_to_bytes - s - 251
ssl_cipher_list_to_bytes - s - 252
ssl_cipher_list_to_bytes - s - 253
ssl_cipher_list_to_bytes - s - 254
ssl_cipher_list_to_bytes - s - 255
ssl_cipher_list_to_bytes - s - 256
ssl_cipher_list_to_bytes - s - 257
ssl_cipher_list_to_bytes - s - 258
ssl_cipher_list_to_bytes - s - 259
ssl_cipher_list_to_bytes - s - 260
ssl_cipher_list_to_bytes - s - 261
ssl_cipher_list_to_bytes - s - 262
ssl_cipher_list_to_bytes - s - 263
ssl_cipher_list_to_bytes - s - 266
ssl_cipher_list_to_bytes - s - 267
ssl_cipher_list_to_bytes - s - 268
ssl_cipher_list_to_bytes - s - 269
ssl_cipher_list_to_bytes - s - 270
ssl_cipher_list_to_bytes - s - 271
ssl_security_default_callback - s - 24
ssl_security_default_callback - s - 26
ssl_security_default_callback - s - 27
ssl_security_default_callback - s - 28
ssl_security_default_callback - s - 29
ssl_security_default_callback - s - 30
ssl_security_default_callback - s - 31
ssl_set_client_disabled - s - 9
ssl_set_client_disabled - s - 10
ssl_set_client_disabled - s - 11
ssl_set_client_disabled - s - 12
ssl_set_client_disabled - s - 13
ssl_set_client_disabled - s - 14
ssl_set_client_disabled - s - 15
ssl_set_client_disabled - s - 24
ssl_set_client_disabled - s - 26
ssl_set_client_disabled - s - 27
ssl_set_client_disabled - s - 28
ssl_set_client_disabled - s - 29
ssl_set_client_disabled - s - 30
ssl_set_client_disabled - s - 31
ssl_set_client_disabled - s - 2048
ssl_set_client_disabled - s - 2049
ssl_set_client_disabled - s - 2050
ssl_set_client_disabled - s - 2051
ssl_set_client_disabled - s - 2052
ssl_set_client_disabled - s - 2053
ssl_set_client_disabled - s - 2054
ssl_set_client_disabled - s - 2055
ssl_cipher_disabled - s - 159
ssl_cipher_disabled - s - 160
ssl_cipher_disabled - s - 161
ssl_cipher_disabled - s - 162
ssl_cipher_disabled - s - 163
ssl_cipher_disabled - s - 164
ssl_cipher_disabled - s - 165
ssl_cipher_disabled - s - 167
ssl_cipher_disabled - s - 168
ssl_cipher_disabled - s - 170
ssl_cipher_disabled - s - 172
ssl_cipher_disabled - s - 173
ssl_cipher_disabled - s - 175
ssl_cipher_disabled - s - 176
ssl_cipher_disabled - s - 178
ssl_cipher_disabled - s - 179
ssl_cipher_disabled - s - 181
ssl_cipher_disabled - s - 182
ssl_cipher_disabled - s - 184
ssl_cipher_disabled - s - 186
ssl_cipher_disabled - s - 187
