========== Whole Struct Corruption ==========
========== .libs/testapi (tree.c) ==========
xmlFreeDoc - cur - 0
xmlFreeDtd - cur - 0
xmlAddChild - parent - 0
xmlAddSibling - elem - 0
xmlNodeAddContentLen - cur - 0
xmlStaticCopyNodeList - node - 0
xmlAddChildList - cur - 0
xmlAddPrevSibling - elem - 0
xmlBufGetNodeContent - cur - 0
xmlCopyPropList - cur - 0
xmlDOMWrapReconcileNamespaces - elem - 0
xmlDocCopyNodeList - node - 0
xmlNodeBufGetContent - cur - 0
xmlNodeGetBase - cur - 0
=== 1 Byte
xmlFreeDoc - cur - 16
xmlFreeDoc - cur - 17
xmlFreeDoc - cur - 18
xmlFreeDoc - cur - 19
xmlFreeDoc - cur - 20
xmlFreeDoc - cur - 21
xmlFreeDoc - cur - 22
xmlFreeDoc - cur - 23
xmlFreeDoc - cur - 24
xmlFreeDoc - cur - 25
xmlFreeDoc - cur - 26
xmlFreeDoc - cur - 27
xmlFreeDoc - cur - 28
xmlFreeDoc - cur - 29
xmlFreeDoc - cur - 30
xmlFreeDoc - cur - 31
xmlFreeDoc - cur - 80
xmlFreeDoc - cur - 81
xmlFreeDoc - cur - 82
xmlFreeDoc - cur - 83
xmlFreeDoc - cur - 84
xmlFreeDoc - cur - 85
xmlFreeDoc - cur - 86
xmlFreeDoc - cur - 87
xmlFreeDoc - cur - 88
xmlFreeDoc - cur - 89
xmlFreeDoc - cur - 90
xmlFreeDoc - cur - 91
xmlFreeDoc - cur - 92
xmlFreeDoc - cur - 93
xmlFreeDoc - cur - 94
xmlFreeDoc - cur - 95
xmlFreeDoc - cur - 96
xmlFreeDoc - cur - 97
xmlFreeDoc - cur - 98
xmlFreeDoc - cur - 99
xmlFreeDoc - cur - 100
xmlFreeDoc - cur - 101
xmlFreeDoc - cur - 102
xmlFreeDoc - cur - 103
xmlFreeDoc - cur - 104
xmlFreeDoc - cur - 105
xmlFreeDoc - cur - 106
xmlFreeDoc - cur - 107
xmlFreeDoc - cur - 108
xmlFreeDoc - cur - 109
xmlFreeDoc - cur - 110
xmlFreeDoc - cur - 111
xmlFreeDoc - cur - 112
xmlFreeDoc - cur - 113
xmlFreeDoc - cur - 114
xmlFreeDoc - cur - 115
xmlFreeDoc - cur - 116
xmlFreeDoc - cur - 117
xmlFreeDoc - cur - 118
xmlFreeDoc - cur - 119
xmlFreeDoc - cur - 120
xmlFreeDoc - cur - 121
xmlFreeDoc - cur - 122
xmlFreeDoc - cur - 123
xmlFreeDoc - cur - 124
xmlFreeDoc - cur - 125
xmlFreeDoc - cur - 126
xmlFreeDoc - cur - 127
xmlFreeDoc - cur - 128
xmlFreeDoc - cur - 129
xmlFreeDoc - cur - 130
xmlFreeDoc - cur - 131
xmlFreeDoc - cur - 132
xmlFreeDoc - cur - 133
xmlFreeDoc - cur - 134
xmlFreeDoc - cur - 135
xmlFreeDoc - cur - 136
xmlFreeDoc - cur - 137
xmlFreeDoc - cur - 138
xmlFreeDoc - cur - 139
xmlFreeDoc - cur - 140
xmlFreeDoc - cur - 141
xmlFreeDoc - cur - 142
xmlFreeDoc - cur - 143
xmlFreeDoc - cur - 152
xmlFreeDoc - cur - 153
xmlFreeDoc - cur - 154
xmlFreeDoc - cur - 155
xmlFreeDoc - cur - 156
xmlFreeDoc - cur - 157
xmlFreeDoc - cur - 158
xmlFreeDoc - cur - 159
xmlFreeDtd - cur - 16
xmlFreeDtd - cur - 17
xmlFreeDtd - cur - 18
xmlFreeDtd - cur - 19
xmlFreeDtd - cur - 20
xmlFreeDtd - cur - 21
xmlFreeDtd - cur - 22
xmlFreeDtd - cur - 23
xmlFreeDtd - cur - 24
xmlFreeDtd - cur - 25
xmlFreeDtd - cur - 26
xmlFreeDtd - cur - 27
xmlFreeDtd - cur - 28
xmlFreeDtd - cur - 29
xmlFreeDtd - cur - 30
xmlFreeDtd - cur - 31
xmlFreeDtd - cur - 65
xmlFreeDtd - cur - 66
xmlFreeDtd - cur - 67
xmlFreeDtd - cur - 68
xmlFreeDtd - cur - 69
xmlFreeDtd - cur - 70
xmlFreeDtd - cur - 71
xmlFreeDtd - cur - 72
xmlFreeDtd - cur - 73
xmlFreeDtd - cur - 74
xmlFreeDtd - cur - 75
xmlFreeDtd - cur - 76
xmlFreeDtd - cur - 77
xmlFreeDtd - cur - 78
xmlFreeDtd - cur - 79
xmlFreeDtd - cur - 80
xmlFreeDtd - cur - 81
xmlFreeDtd - cur - 82
xmlFreeDtd - cur - 83
xmlFreeDtd - cur - 84
xmlFreeDtd - cur - 85
xmlFreeDtd - cur - 86
xmlFreeDtd - cur - 87
xmlFreeDtd - cur - 88
xmlFreeDtd - cur - 89
xmlFreeDtd - cur - 90
xmlFreeDtd - cur - 91
xmlFreeDtd - cur - 92
xmlFreeDtd - cur - 93
xmlFreeDtd - cur - 94
xmlFreeDtd - cur - 95
xmlFreeDtd - cur - 96
xmlFreeDtd - cur - 97
xmlFreeDtd - cur - 98
xmlFreeDtd - cur - 99
xmlFreeDtd - cur - 100
xmlFreeDtd - cur - 101
xmlFreeDtd - cur - 102
xmlFreeDtd - cur - 103
xmlFreeDtd - cur - 104
xmlFreeDtd - cur - 105
xmlFreeDtd - cur - 106
xmlFreeDtd - cur - 107
xmlFreeDtd - cur - 108
xmlFreeDtd - cur - 109
xmlFreeDtd - cur - 110
xmlFreeDtd - cur - 111
xmlFreeDtd - cur - 112
xmlFreeDtd - cur - 113
xmlFreeDtd - cur - 114
xmlFreeDtd - cur - 115
xmlFreeDtd - cur - 116
xmlFreeDtd - cur - 117
xmlFreeDtd - cur - 118
xmlFreeDtd - cur - 119
xmlFreeDtd - cur - 120
xmlFreeDtd - cur - 121
xmlFreeDtd - cur - 122
xmlFreeDtd - cur - 123
xmlFreeDtd - cur - 124
xmlFreeDtd - cur - 125
xmlFreeDtd - cur - 126
xmlFreeDtd - cur - 127
xmlAddChild - parent - 97
xmlAddChild - parent - 98
xmlAddChild - parent - 99
xmlAddChild - parent - 100
xmlAddChild - parent - 101
xmlAddChild - parent - 102
xmlAddChild - parent - 103
xmlAddSibling - elem - 40
xmlAddSibling - elem - 41
xmlAddSibling - elem - 42
xmlAddSibling - elem - 43
xmlAddSibling - elem - 44
xmlAddSibling - elem - 45
xmlAddSibling - elem - 46
xmlAddSibling - elem - 47
xmlAddSibling - elem - 48
xmlAddSibling - elem - 49
xmlAddSibling - elem - 50
xmlAddSibling - elem - 51
xmlAddSibling - elem - 52
xmlAddSibling - elem - 53
xmlAddSibling - elem - 54
xmlAddSibling - elem - 55
xmlAddSibling - elem - 56
xmlAddSibling - elem - 57
xmlAddSibling - elem - 58
xmlAddSibling - elem - 59
xmlAddSibling - elem - 60
xmlAddSibling - elem - 61
xmlAddSibling - elem - 62
xmlAddSibling - elem - 63
xmlAddSibling - elem - 64
xmlAddSibling - elem - 65
xmlAddSibling - elem - 66
